CKY_ART;DESCR;CATEGORIA;COSTO
0000000414;!TV LCD 42 PHILIPS AMBILIGH;47;994,2
0000000415;!CAVO DI RETE SCHERMATO CAT.;7;7,8
0000000416;!MEMORIA PEN DRIVE TRAXDATA;42;17,04
0000000417;!MEMORIA PEN DRIVE TRAXDATA;42;21,75
0000000418;!MEMORIA PEN DRIVE TRAXDATA;42;35,085
0000000419;!CD-R 80 MIN MEDIA CAKE (240;48;307,5
0000000420;!CD-R 80MIN VERBATIM DATALIF;48;410,7
0000000421;!CASSE TRUST SP-3300M  2.1;70;36,405
0000000422;!MOUSE LOGITECH OTTICO BIANC;50;16,125
0000000423;!DVD-R MEDIA 16X (2400PZ);11;583,5
0000000424;!MEMORIA DDR 512 MB PC400 MH;40;23,235
0000000425;!CD-R 80MIN VERBATIM SUPERAZ;48;482,7
0000000426;!MONITOROEM 17 LCD SILVER M;47;216,6375
0000000427;!MODEMESTERNO ADSL + ROUTER;46;40,5
0000000428;!CARTUCCIACOMPATIBILE HANTOL;80;9,18
0000000429;!CARTUCCIA COMPATIBILE EPSON;80;8,41395
